location,university_name,university_code,university_category,university_type,university_email,university_site,military_dep
Қарағанды,Қарағанды ​​мемлекеттік техникалық университеті,32,мемлекет,университет,kargtu@kstu.kz,kstu.kz,бар
Қызылорда,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,34,мемлекет,университет,korkyt_ksu@mail.ru,korkyt.kz,бар
Павлодар,С. Торайғыров атындағы Павлодар мемлекеттік университеті,38,мемлекет,университет,pgu@psu.kz,psu.kz,бар
Шымкент,Аймақтық әлеуметтік-инновациялық университеті,203,жеке,университет,rsiu2012@mail.ru,rsiu.kz,жоқ
Тараз,Тараз инновациялық-гуманитарлық университеті,223,жеке,университет,Tigu_kz@mail.ru,tiqu.kz,бар
Қарағанды,Теміртау,33,мемлекет,университет,kgiu@mail.ru,kgiu.kz,жоқ
Алматы,Университеті «Нархоз»,21,жеке,университет,narxoz@narxoz.kz,narxoz.kz,бар
Алматы,Халықаралық бизнес университеті,69,жеке,университет,uib@uib.kz,uib.kz,жоқ
Алматы,Орта-Азиялық Университеті,96,жеке,университет,info@cau.kz,cau.kz,жоқ
Жезқазған,Ө.А.Байқоңыров атындағы Жезқазған университеті,14,бірлескен-stockicize,университет,univer_Zhez@mail.ru,zhezu.kz/,жоқ
Ақтау,Технологиялар және инжиниринг Каспий мемлекеттік университеті Ш.Уәлиханов атындағы,3,мемлекет,университет,ksu@kguti.kz,kguti.kz,бар
кен,Рудный индустриалдық институты,39,мемлекет,институты,info@rii.kz,rii.kz,жоқ
Алматы,Қазақ Ұлттық Өнер академиясы,17,ұлттық,академия,kaznai@art-oner.kz,kaznai.kz,жоқ
Астана,Қазақ ұлттық Хореографиялық академиясы,206,жеке,академия,-,balletacademy.kz/ru/home-ru/,жоқ
Алматы,Құрманғазы атындағы Қазақ ұлттық консерваториясы,6,ұлттық,консерватория,info@conservatoire.kz,conservatoire.kz,жоқ
Астана,Қазақ ұлттық өнер университеті,18,ұлттық,университет,kaznam98@mail.ru,kaznui.kz/ru/,жоқ
Ақтөбе,Қазақстан Республикасы Қорғаныс министрлігі Әуе қорғанысы күштерінің Әскери институты,351,өрескел,институты,visvo@rambler.ru,-,жоқ
Ақтөбе,Ақтөбе университеті. С. Baisheva,416,жеке,университет,eduausb@mail.ru,vuzbaishev.kz,жоқ
Алматы,Энергетика және байланыс университеті,57,бірлескен-stockicize,университет,aues@aues.kz,aues.kz,бар
Астана,L.N.Gumilyov Еуразия ұлттық университеті,13,ұлттық,университет,enu@enu.kz,enu.kz,бар
Алматы,Әл-Фараби атындағы Қазақ ұлттық университеті,27,ұлттық,университет,info@kaznu.kz,kaznu.kz,бар
Алматы,Қазақ-Британ техникалық университеті,421,жеке,университет,kense@kbtu.kz,kbtu.kz,жоқ
Алматы,Каспий қоғамдық супермаркет,79,жеке,университет,cu@cu.edu.kz,cu.edu.kz/,жоқ
Түркістан,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,37,мемлекет,университет,rector@ayu.edu.kz,ayu.edu.kz,жоқ
Шымкент,Шымкент университеті,414,жеке,университет,shimunivers@shym.kz,univershu.kz,жоқ
Алматы,Алматы менеджмент университеті,0,жеке,университет,astana@almau.edu.kz,almau.edu.kz,жоқ
Орал,М.Өтемісов атындағы Батыс-Қазақстан мемлекеттік университеті,16,мемлекет,университет,info@wksu.kz,-,жоқ
Алматы,Абай атындағы Қазақ ұлттық педагогикалық университеті,7,ұлттық,университет,rector@kaznpu.kz,kaznpu.kz,бар
Алматы,Халықаралық қатынастар және Абылай хан атындағы әлем тілдері университеті,23,бірлескен-stockicize,университет,kazumo@ablaikhan.kz,ablaikhan.kz,бар
Алматы,«Тұран» университетінің,93,жеке,университет,info@turan-edu.kz,turan-edu.kz/,жоқ
Талдықорған,О.А. Джолдасбекова атындағы экономика және құқық академиясы,90,жеке,академия,dzholdasbekov@rambler.ru,vuz.ucoz.kz,жоқ
Ақтөбе,Ақтөбе өңірлік мемлекеттік университеті im.K.Zhubanova,5,мемлекет,университет,info@arsu.kz,arsu.kz,жоқ
Алматы,Экономика және статистика Алматы академиясы,154,жеке,академия,aesa2005@mail.ru,aesa.kz,жоқ
Көкшетау,Гуманитарлық-техникалық академиясы,151,жеке,академия,info@GTA.kz,GTA.kz,жоқ
Алматы,Қазақ автокөлік-жол академиясы L.Goncharova атындағы,78,жеке,институты,kazadi@kazadi.kz,kazadi.kz,жоқ
Алматы,Еңбек және әлеуметтік қатынастар қазақ академиясы,48,жеке,академия,kaz_atso@mail.ru,atso.kz,жоқ
Алматы,Қазақ мемлекеттік қыздар педагогикалық университеті,25,мемлекет,университет,info@kazmkpu.kz,kazmkpu.kz,жоқ
Астана,"Экономика, қаржы және халықаралық сауда университеті",173,жеке,университет,mailbox@kuef.kz,kuef.kz,жоқ
Шымкент,Қазақстан инжиниринг және Халықтар достығы педагогикалық университеті,202,жеке,университет,info@kipudn.kz,kipudn.kz,жоқ
Өскемен,Қазақстан-Американдық еркін университеті,153,жеке,университет,kafu_ukg@mail.ru,kafu.kz,жоқ
Алматы,Қазақ-неміс университеті,82,жеке,университет,info@dku.kz,dku.kz,жоқ
Қарағанды,Б. Бейсенованы атындағы Қазақстан Республикасы Ішкі істер министрлігінің Қарағанды ​​академиясы,355,өрескел,академия,karurinst@rambler.ru,kzi.kz,жоқ
Қарағанды,Қарағанды ​​мемлекеттік университеті,31,мемлекет,университет,office@ksu.kz,ksu.kz,бар
Қарағанды,Қазтұтынуодағы Қарағанды ​​экономикалық университетінің,122,жеке,университет,mail@keu.kz,keu.kz,жоқ
Көкшетау,А. Мырзахметова атындағы Көкшетау университеті,158,жеке,университет,kuam-kokchetau@mail.ru,kuam.kz,бар
Қостанай,Z.Aldamzhara атындағы Қостанай әлеуметтік-техникалық университеті,145,жеке,университет,pkkstu@mail.ru,kosstu.kz,жоқ
Алматы,Халықаралық ақпараттық технологиялар университеті,190,бірлескен-stockicize,университет,info@iitu.kz,iitu.kz,жоқ
Астана,Университеті «Астана»,194,жеке,университет,astanauniver@mail.ru,cau.kz,жоқ
Қызылорда,«Болашақ» университетінің,305,жеке,университет,bolashak_5@mail.ru,bolashak-edu.kz,жоқ
Шымкент,«Мирас» университеті,133,жеке,университет,info@miras.edu.kz,miras.edu.kz,жоқ
Астана,Университеті «Тұран-Астана»,184,жеке,университет,turan-astana@mail.ru,turan-astana.kz,жоқ
Алматы,Сүлейман Демирел университетінің атауы,302,жеке,университет,info@sdu.edu.kz,sdu.edu.kz,жоқ
Астана,Қаржы академиясы,191,жеке,академия,-,fin-academy.kz,жоқ
Қарағанды,Орталық Қазақстан академиясы,197,жеке,академия,cka_kz@mail.ru,cka.kz,жоқ
Астана,Еуразия гуманитарлық институты,47,жеке,институты,eagi@list.ru,egi.kz,жоқ
отбасы,Қазақ гуманитарлық-заң инновациялық университетінің,141,жеке,университет,semey_urist@mail.ru,kazguiu.kz,бар
Астана,Қазақ гуманитарлық заң университеті,174,бірлескен-stockicize,университет,Info@kazguu.kz,kazguu.kz,бар
Ақтау,Маңғыстау гуманитарлық-техникалық университеті,195,жеке,университет,mgtukz@mail.ru,mgtu-aktau.kz,жоқ
Алматы,Шет тілдер және іскерлік карьера университеті,419,жеке,университет,ydu2006@mail.ru,ydu.kz,жоқ
Шымкент,Оңтүстік Қазақстан педагогикалық университеті,186,жеке,университет,ukpu_kaz@mail.ru,ukpu.kz,жоқ
Қызылорда,Гуманитарлық-техникалық институты «Ақмешіт»,127,жеке,институты,akmeshit@mail.ru,akmechit.kz,жоқ
Павлодар,Павлодар мемлекеттік педагогикалық институты,517,мемлекет,институты,priempspi@gmail.com,ppi.kz,жоқ
Тараз,Тараз мемлекеттік педагогикалық университеті,515,мемлекет,институты,targpi@mail.ru,tarmpi.kz,жоқ
Шымкент,Оңтүстік Қазақстан мемлекеттік педагогикалық институты,196,мемлекет,институты,okmpi@mail.ru,okmpi.kz,жоқ
Петропавл,М.Қозыбаев атындағы Солтүстік Қазақстан мемлекеттік университеті,40,мемлекет,университет,mail@nkzu.kz,nkzu.kz,бар
Шымкент,М. Сапарбаев атындағы Оңтүстік Қазақстан гуманитарлық институты,413,жеке,институты,ukgi2002@mail.ru,ukgi.kz/,жоқ
Арқалық,Алтынсарин атындағы Арқалық мемлекеттік педагогикалық институты,8,мемлекет,институты,arkgpi@mail.ru,api.kz,жоқ
Қостанай,Қостанай мемлекеттік педагогикалық институты,516,мемлекет,институты,kgpi118@mail.ru,kspi.kz,жоқ
Шымкент,Халықаралық гуманитарлық-техникалық университеті,137,бірлескен-stockicize,университет,mgtu-shymkent@mail.ru,hgtu.kz,жоқ
Жетісай,Университеті «Сырдария»,143,жеке,университет,sirdariya@mail.ru,sirdariya.kz,жоқ
Қарағанды,Академия «Болашақ»,116,жеке,академия,ku_bolashak@mail.ru,kubolashak.kz,жоқ
Ақтөбе,М. Оспанов атындағы Батыс Қазақстан мемлекеттік медицина университеті,4,мемлекет,университет,info@zkgmu.kz,new.zkgmu.kz,бар
Алматы,Қазақстан-Ресей медицина университеті,80,жеке,университет,nuo_kmu@mail.ru,medkrmu.kz/,жоқ
Алматы,Спорт және туризм академиясы,20,бірлескен-stockicize,академия,kazsport@inbox.ru,kazast.kz,жоқ
Алматы,Ислам мәдениетінің Египет университеті «Нұр-Мүбарак»,503,жеке,университет,nur-mubarak2001@mail.ru,nmu.kz,жоқ
Алматы,КИМЭП университеті,979,бірлескен-stockicize,институты,astnedop@kimep.kz,kimep.kz,жоқ
Алматы,Қорғаныс Радиоэлектроника және байланыс министрлігінің әскери-инженерлік институты,359,өрескел,институты,viiy57@mail.ru,mod.gov.kz,жоқ
Шымкент,Қазақстан инжиниринг және Халықтар достығы педагогикалық университеті,202,жеке,университет,info@kazetu.kz,kazetu.kz,жоқ
Алматы,Қазақстан Республикасының Ұлттық қауіпсіздік комитеті Шекара қызметінің академиясы,518,өрескел,академия,ku_bolashak@mail.ru,knb.kz,жоқ
Алматы,ҚР ІІМ Алматы академиясы Makana Esbulatova атындағы,354,өрескел,академия,akademy_mvd@mail.ru,aacademymvd.kz,жоқ
Алматы,Еуразиялық заң академиясы Д.Қонаев,200,жеке,университет,vuzkunaeva@vuzkunaeva.kz,,жоқ
Петропавл,Қазақстан Республикасы Ұлттық ұланының әскери институты,357,өрескел,институты,info@vivv.kz,vivv.kz,жоқ
Алматы,Қорғаныс министрлігінің Құрлықтағы әскерлердің әскери институты,350,өрескел,институты,-,mod.gov.kz,жоқ
Қарағанды,Қарағанды ​​«Болашақ» университетінің,116,-,-,-,-,жоқ
Көкшетау,Қазақстан Республикасы Төтенше жағдайлар министрлігінің Көкшетау техникалық институты,353,өрескел,институты,kti.mchs@mail.ru,kti-tjm.kz,жоқ
Қарағанды,Қарағанды ​​мемлекеттік индустриялық университеті,33,мемлекет,университет,kgiu@mail.ru,kgiu.kz,жоқ
