location,university_name,university_code,university_category,university_type,university_email,university_site,military_dep
Алматы,Казахстанский инженерно-технологический университет,49,Частный,Университет,info@kazetu.kz,kazetu.kz,Нет
Алматы,Алматинский технологический университет,53,Частный,Университет,atukz@mail.ru,atu.kz,Нет
Алматы,Алматинский университет энергетики и связи,57,Акционированный,Университет,aues@aues.kz,aues.kz,Есть
Алматы,Университет международного бизнеса,69,Частный,Университет,uib@uib.kz,uib.kz,Нет
Алматы,Казахская автомобильно-дорожная академия имени Л.Гончарова,78,Частный,Институт,kazadi@kazadi.kz,kazadi.kz,Нет
Алматы,Каспийский общественный универси,79,Частный,Университет,cu@cu.edu.kz,cu.edu.kz/,Нет
Алматы,Казахстанско-Российский медицинский университет,80,Частный,Университет,nuo_kmu@mail.ru,medkrmu.kz/,Нет
Алматы,Казахстанско-Немецкий университет,82,Частный,Университет,info@dku.kz,dku.kz,Нет
Талдыкорган,Академия экономики и права имени О. А. Джолдасбекова,90,Частный,Академия,dzholdasbekov@rambler.ru,vuz.ucoz.kz,Нет
Алматы,Университет «Туран»,93,Частный,Университет,info@turan-edu.kz,turan-edu.kz/,Нет
Алматы,Центрально-Азиатский университет,96,Частный,Университет,info@cau.kz,cau.kz,Нет
Актобе,Казахско-Русский международный университет,103,Частный,Университет,strkrmu2015@mail.ru,krmu.kz,Нет
Караганда,Карагандинский университет «Болашак»,116,-,-,-,-,Нет
Караганда,Академия «Болашак»,116,Частный,Академия,ku_bolashak@mail.ru,kubolashak.kz,Нет
Караганда,Карагандинский экономический университет Казпотребсоюза,122,Частный,Университет,mail@keu.kz,keu.kz,Нет
Кызылорда,Гуманитарно-технический институт «Акмешит»,127,Частный,Институт,akmeshit@mail.ru,akmechit.kz,Нет
Шымкент,Университет «Мирас»,133,Частный,Университет,info@miras.edu.kz,miras.edu.kz,Нет
Шымкент,Международный гуманитарно-технический университет,137,Акционированный,Университет,mgtu-shymkent@mail.ru,hgtu.kz,Нет
Костанай,Костанайский инженерно-экономический университет им.М.Дулатова,140,Частный,Университет,adm@kineu.kz,kineu.kz,Нет
Семей,Казахский гуманитарно-юридический инновационный университет,141,Частный,Университет,semey_urist@mail.ru,kazguiu.kz,Есть
Жетысай,Университет «Сырдария»,143,Частный,Университет,sirdariya@mail.ru,sirdariya.kz,Нет
Костанай,Костанайский социально-технический университет имени З.Алдамжара,145,Частный,Университет,pkkstu@mail.ru,kosstu.kz,Нет
Павлодар,Инновационный Евразийский университет,146,Частный,Университет,referent@ineu.edu.kz,ineu.edu.kz,Нет
Кокшетау,Гуманитарно-техническая академия,151,Частный,Академия,info@GTA.kz,GTA.kz,Нет
Усть-Каменогорск,Казахстанско-Американский свободный университет,153,Частный,Университет,kafu_ukg@mail.ru,kafu.kz,Нет
Алматы,Алматинская академия экономики и статистики,154,Частный,Академия,aesa2005@mail.ru,aesa.kz,Нет
Кокшетау,Кокшетауский университет имени А. Мырзахметова,158,Частный,Университет,kuam-kokchetau@mail.ru,kuam.kz,Есть
Алматы,Евразийский технический университет,160,Частный,Университет,info@etu.edu.kz,etu.edu.kz,Нет
Алматы,Казахский университет путей сообщения,162,Частный,Университет,kups1@mail.ru,kuwc.kz,Нет
Астана,"Казахский университет экономики, финансов и международной торговли",173,Частный,Университет,mailbox@kuef.kz,kuef.kz,Нет
Астана,Казахский гуманитарно-юридический университет,174,Акционированный,Университет,Info@kazguu.kz,kazguu.kz,Есть
Астана,Казахский университет технологии и бизнеса,182,Частный,Университет,akutb@mail.ru,kazutb.kz,Нет
Астана,Университет «Туран—Астана»,184,Частный,Университет,turan-astana@mail.ru,turan-astana.kz,Нет
Шымкент,Южно-Казахстанский педагогический университет,186,Частный,Университет,ukpu_kaz@mail.ru,ukpu.kz,Нет
Алматы,Международный университет информационных технологий,190,Акционированный,Университет,info@iitu.kz,iitu.kz,Нет
Астана,Финансовая академия,191,Частный,Академия,-,fin-academy.kz,Нет
Астана,Университет «Астана»,194,Частный,Университет,astanauniver@mail.ru,cau.kz,Нет
Актау,Мангистауский гуманитарно-технический университет,195,частный,Университет,mgtukz@mail.ru,mgtu-aktau.kz,Нет
Шымкент,Южно-Казахстанский государственный педагогический институт,196,Государственный,Институт,okmpi@mail.ru,okmpi.kz,Нет
Караганда,Центрально-Казахстанская академия,197,Частный,Академия,cka_kz@mail.ru,c-k-a.kz,Нет
Уральск,Западно-Казахстанский инновационно-технологический университет,198,Государственный,Университет,-,wkitu@mail.ru,Нет
Уральск,Казахстанский университет инновационных и телекоммуникационных систем,199,Частный,Университет,-,univers.kz,Нет
Алматы,Евразийская юридическая академия имени Д.Кунаева,200,Частный,Университет,vuzkunaeva@vuzkunaeva.kz,,Нет
Шымкент,Казахстанский инженерно- педагогический университет дружбы народов,202,Частный,Университет,info@kipudn.kz,kipudn.kz,Нет
Шымкент,Казахстанский инженерно- педагогический университет дружбы народов,202,Частный,Университет,info@kazetu.kz,kazetu.kz,Нет
Шымкент,Региональный социально-инновационный университет,203,Частный,Университет,rsiu2012@mail.ru,rsiu.kz,Нет
Астана,Казахская национальная академия хореографии,206,Частный,Академия,-,balletacademy.kz/ru/home-ru/,Нет
Тараз,Таразский инновационно-гуманитарный университет,223,Частный,Университет,Tigu_kz@mail.ru,tiqu.kz,Есть
Алматы,Университет имени Сулеймана Демиреля,302,Частный,Университет,info@sdu.edu.kz,sdu.edu.kz,Нет
Кызылорда,Университет «Болашак»,305,Частный,Университет,bolashak_5@mail.ru,bolashak-edu.kz,Нет
Алматы,Военный институт Сухопутных войск Министерства обороны РК,350,Негражданский,Институт,-,mod.gov.kz,Нет
Актобе,Военный институт Сил воздушной обороны Министерства обороны РК,351,Негражданский,Институт,visvo@rambler.ru,-,Нет
Кокшетау,Кокшетауский технический институт МЧС Республики Казахстан,353,Негражданский,Институт,kti.mchs@mail.ru,kti-tjm.kz,Нет
Алматы,Алматинская академия МВД РК имени Макана Есбулатова,354,Негражданский,Академия,akademy_mvd@mail.ru,aacademymvd.kz,Нет
Караганда,Карагандинская академия МВД Республики Казахстан имени Б. Бейсенова,355,Негражданский,Академия,karurinst@rambler.ru,kzi.kz,Нет
Петропавловск,Военный институт национальной гвардии Республики Казахстан,357,Негражданский,Институт,info@vivv.kz,vivv.kz,Нет
Алматы,Военно-инженерный институт радиоэлектроники и связи Министерства обороны РК,359,Негражданский,Институт,viiy57@mail.ru,mod.gov.kz,Нет
Шымкент,Южно-Казахстанский гуманитарный институт имени М. Сапарбаева,413,Частный,Институт,ukgi2002@mail.ru,ukgi.kz/,Нет
Шымкент,Шымкентский университет,414,Частный,Университет,shimunivers@shym.kz,univershu.kz,Нет
Актобе,Актюбинский университет им. С. Баишева,416,Частный,Университет,eduausb@mail.ru,vuzbaishev.kz,Нет
Алматы,Университет иностранных языков и деловой карьеры,419,Частный,Университет,ydu2006@mail.ru,ydu.kz,Нет
Алматы,Казахстанско-Британский технический университет,421,Частный,Университет,kense@kbtu.kz,kbtu.kz,Нет
Уральск,Западно-Казахстанский аграрно-технический университет имени Жангир хана,501,Государственный,Университет,-,-,Нет
Алматы,Египетский университет исламской культуры «Нур—Мубарак»,503,Частный,Университет,nur-mubarak2001@mail.ru,nmu.kz,Нет
Тараз,Таразский государственный педагогический университет,515,Государственный,Институт,targpi@mail.ru,tarmpi.kz,Нет
Костанай,Костанайский государственный педагогический институт,516,Государственный,Институт,kgpi118@mail.ru,kspi.kz,Нет
Павлодар,Павлодарский государственный педагогический институт,517,Государственный,Институт,priempspi@gmail.com,ppi.kz,Нет
Алматы,Академия Пограничной службы КНБ РК,518,Негражданский,Академия,ku_bolashak@mail.ru,knb.kz,Нет
Алматы,"Казахстанский институт менеджмента, экономики и прогнозирования",979,Акционированный,Институт,astnedop@kimep.kz,kimep.kz,Нет
Алматы,Алматы Менеджмент Университет,0,Частный,Университет,astana@almau.edu.kz,almau.edu.kz,Нет
