id,university,prof_title,first_lesson,second_lesson,total_grant,full_kz,full_ru,full_en,shortened_kz,shortened_ru
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
,Еуразиялық техникалық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
,І.Жансүгіров атындағы Жетісу мемлекеттік университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
,Хан Жәңгір атындағы Батыс Қазақстан аграрлық-техникалық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
,Батыс Қазақстан инновациялық және технология университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,40
,Инновациялық Еуразия университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Көлік және М.Тынышпаев атындағы коммуникациялар академиясы,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Қазақ ұлттық аграрлық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Қазақ Көлік университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Технология және бизнес университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Қазақ-Орыс Халықаралық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Қазақстан инженерлік-технологиялық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Инновациялық Қазақстан университеті және телекоммуникациялық жүйелер,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Қарағанды ​​мемлекеттік техникалық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Қостанай инженерлік-экономикалық университеті im.M.Dulatova,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,С. Торайғыров атындағы Павлодар мемлекеттік университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Аймақтық әлеуметтік-инновациялық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Тараз инновациялық-гуманитарлық университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Теміртау,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Университеті «Нархоз»,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Халықаралық бизнес университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Орта-Азиялық Университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,Стандарттау және сертификаттау,математика,физика,260,158,52,0,38,0
,Алматы технологиялық университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Атырау мұнай және газ университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Ө.А.Байқоңыров атындағы Жезқазған университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Хан Жәңгір атындағы Батыс Қазақстан аграрлық-техникалық университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Батыс Қазақстан инновациялық және технология университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Инновациялық Еуразия университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Қазақ ұлттық аграрлық университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Қазақстан инженерлік-технологиялық университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Қарағанды ​​мемлекеттік техникалық университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Технологиялар және инжиниринг Каспий мемлекеттік университеті Ш.Уәлиханов атындағы,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,С. Торайғыров атындағы Павлодар мемлекеттік университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Рудный индустриалдық институты,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Теміртау,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,Технологиялық машиналар және жабдықтар,математика,физика,690,480,60,0,38,0
,Қазақ Ұлттық Өнер академиясы,Art - Менеджмент,шығармашылық емтихан,шығармашылық емтихан,0,0,0,0,0,0
,Қазақ ұлттық Хореографиялық академиясы,Art - Менеджмент,шығармашылық емтихан,шығармашылық емтихан,0,0,0,0,0,0
,Құрманғазы атындағы Қазақ ұлттық консерваториясы,Art - Менеджмент,шығармашылық емтихан,шығармашылық емтихан,0,0,0,0,0,0
,Қазақ ұлттық өнер университеті,Art - Менеджмент,шығармашылық емтихан,шығармашылық емтихан,0,0,0,0,0,0
,Қазақстан Республикасы Қорғаныс министрлігі Әуе қорғанысы күштерінің Әскери институты,Авиациялық техника және технологиялар,математика,физика,220,150,50,0,15,0
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Авиациялық техника және технологиялар,математика,физика,220,150,50,0,15,0
,Ақтөбе университеті. С. Baisheva,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Алматы технологиялық университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Энергетика және байланыс университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Х Досмұхамедов атындағы Атырау мемлекеттік университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Атырау мұнай және газ университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,L.N.Gumilyov Еуразия ұлттық университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Ө.А.Байқоңыров атындағы Жезқазған университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Көлік және М.Тынышпаев атындағы коммуникациялар академиясы,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Қазақ ұлттық аграрлық университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Әл-Фараби атындағы Қазақ ұлттық университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Қазақ Көлік университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Қазақ-Орыс Халықаралық университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Қазақстан инженерлік-технологиялық университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Инновациялық Қазақстан университеті және телекоммуникациялық жүйелер,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Қазақ-Британ техникалық университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Қарағанды ​​мемлекеттік техникалық университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Каспий қоғамдық супермаркет,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Қостанай инженерлік-экономикалық университеті im.M.Dulatova,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,С. Торайғыров атындағы Павлодар мемлекеттік университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Рудный индустриалдық институты,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Теміртау,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,Автоматтандыру және баскару,математика,физика,1530,1070,358,0,78,0
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,Хан Жәңгір атындағы Батыс Қазақстан аграрлық-техникалық университеті,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,Қазақ ұлттық аграрлық университеті,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,Қостанай инженерлік-экономикалық университеті im.M.Dulatova,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,Аграрлық техника және технология,математика,физика,245,176,59,0,8,0
,Ақтөбе университеті. С. Baisheva,агрономия,биология,химия,300,206,69,0,19,0
,Х Досмұхамедов атындағы Атырау мемлекеттік университеті,агрономия,биология,химия,300,206,69,0,19,0
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,агрономия,биология,химия,300,206,69,0,19,0
,Хан Жәңгір атындағы Батыс Қазақстан аграрлық-техникалық университеті,агрономия,биология,химия,300,206,69,0,19,0
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,агрономия,биология,химия,300,206,69,0,19,0
,Қазақ ұлттық аграрлық университеті,агрономия,биология,химия,300,206,69,0,19,0
,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,агрономия,биология,химия,300,206,69,0,19,0
,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,агрономия,биология,химия,300,206,69,0,19,0
,Қостанай инженерлік-экономикалық университеті im.M.Dulatova,агрономия,биология,химия,300,206,69,0,19,0
,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,агрономия,биология,химия,300,206,69,0,19,0
,С. Торайғыров атындағы Павлодар мемлекеттік университеті,агрономия,биология,химия,300,206,69,0,19,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,агрономия,биология,химия,300,206,69,0,19,0
,Шымкент университеті,агрономия,биология,химия,300,206,69,0,19,0
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,агрономия,биология,химия,300,206,69,0,19,0
,Алматы технологиялық университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,Атырау мұнай және газ университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,Хан Жәңгір атындағы Батыс Қазақстан аграрлық-техникалық университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,Инновациялық Еуразия университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,Қазақ ұлттық аграрлық университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,Технология және бизнес университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,Қазақстан инженерлік-технологиялық университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,С. Торайғыров атындағы Павлодар мемлекеттік университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,Орта-Азиялық Университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,Азық-түлік өнімдерінің технологиясы,биология,химия,500,330,110,0,45,0
,Алматы менеджмент университеті,"аймактану
",Шетел тілі,Дүниежүзі тарихы,66,50,16,0,0,0
,М.Өтемісов атындағы Батыс-Қазақстан мемлекеттік университеті,"аймактану
",Шетел тілі,Дүниежүзі тарихы,66,50,16,0,0,0
,Абай атындағы Қазақ ұлттық педагогикалық университеті,"аймактану
",Шетел тілі,Дүниежүзі тарихы,66,50,16,0,0,0
,Әл-Фараби атындағы Қазақ ұлттық университеті,"аймактану
",Шетел тілі,Дүниежүзі тарихы,66,50,16,0,0,0
,Халықаралық қатынастар және Абылай хан атындағы әлем тілдері университеті,"аймактану
",Шетел тілі,Дүниежүзі тарихы,66,50,16,0,0,0
,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,"аймактану
",Шетел тілі,Дүниежүзі тарихы,66,50,16,0,0,0
,«Тұран» университетінің,"аймактану
",Шетел тілі,Дүниежүзі тарихы,66,50,16,0,0,60
,Орта-Азиялық Университеті,"аймактану
",Шетел тілі,Дүниежүзі тарихы,66,50,16,0,0,60
,О.А. Джолдасбекова атындағы экономика және құқық академиясы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Ақтөбе өңірлік мемлекеттік университеті im.K.Zhubanova,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Ақтөбе университеті. С. Baisheva,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Экономика және статистика Алматы академиясы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Алматы технологиялық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Энергетика және байланыс университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Алматы менеджмент университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Х Досмұхамедов атындағы Атырау мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Атырау мұнай және газ университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Д.Серікбаев атындағы Шығыс Қазақстан мемлекеттік техникалық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Гуманитарлық-техникалық академиясы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,L.N.Gumilyov Еуразия ұлттық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,І.Жансүгіров атындағы Жетісу мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Хан Жәңгір атындағы Батыс Қазақстан аграрлық-техникалық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,М.Өтемісов атындағы Батыс-Қазақстан мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Батыс Қазақстан инновациялық және технология университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Инновациялық Еуразия университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазақ автокөлік-жол академиясы L.Goncharova атындағы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Көлік және М.Тынышпаев атындағы коммуникациялар академиясы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Еңбек және әлеуметтік қатынастар қазақ академиясы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазақ мемлекеттік қыздар педагогикалық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазақ ұлттық аграрлық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Абай атындағы Қазақ ұлттық педагогикалық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Әл-Фараби атындағы Қазақ ұлттық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазақ Көлік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Технология және бизнес университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,"Экономика, қаржы және халықаралық сауда университеті",Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазақ-Орыс Халықаралық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазақстан инжиниринг және Халықтар достығы педагогикалық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Инновациялық Қазақстан университеті және телекоммуникациялық жүйелер,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазақстан-Американдық еркін университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазақ-Британ техникалық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазақ-неміс университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Б. Бейсенованы атындағы Қазақстан Республикасы Ішкі істер министрлігінің Қарағанды ​​академиясы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қарағанды ​​мемлекеттік техникалық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қарағанды ​​мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Қазтұтынуодағы Қарағанды ​​экономикалық университетінің,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,60
,Технологиялар және инжиниринг Каспий мемлекеттік университеті Ш.Уәлиханов атындағы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,25
,Ш.Уәлиханов атындағы Көкшетау мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,А. Мырзахметова атындағы Көкшетау университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,А.Байтұрсынов атындағы Қостанай мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,Қостанай инженерлік-экономикалық университеті im.M.Dulatova,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,Z.Aldamzhara атындағы Қостанай әлеуметтік-техникалық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,Қызылорда мемлекеттік университеті Қорқыт Ата атындағы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,HA Яссауи атындағы Халықаралық қазақ-түрік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,Халықаралық ақпараттық технологиялар университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,С. Торайғыров атындағы Павлодар мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,Аймақтық әлеуметтік-инновациялық университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,Рудный индустриалдық институты,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,М.Дулатов атындағы Тараз мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,Университеті «Астана»,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,«Болашақ» университетінің,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,«Мирас» университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,Университеті «Нархоз»,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,Университеті «Тұран-Астана»,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,«Тұран» университетінің,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,Сүлейман Демирел университетінің атауы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,Халықаралық бизнес университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,Қаржы академиясы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,Орта-Азиялық Университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,Орталық Қазақстан академиясы,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,5
,М.Әуезов атындағы Оңтүстік Қазақстан мемлекеттік университеті,Ақпараттық жүйелер,математика,физика,1530,989,329,0,159,0
,Энергетика және байланыс университеті,Ақпараттық қауіпсіздік жүйелері,математика,физика,276,207,69,0,0,0
,L.N.Gumilyov Еуразия ұлттық университеті,Ақпараттық қауіпсіздік жүйелері,математика,физика,276,207,69,0,0,0
,Қ.И. Сәтбаев атындағы Қазақ ұлттық техникалық зерттеу университетіне,Ақпараттық қауіпсіздік жүйелері,математика,физика,276,207,69,0,0,15
,Халықаралық ақпараттық технологиялар университеті,Ақпараттық қауіпсіздік жүйелері,математика,физика,276,207,69,0,0,15
,С.Аманжолов атындағы Шығыс Қазақстан мемлекеттік университеті,Аңшылықтану және аң шаруашылығы,биология,география,30,23,7,0,0,15
,Мемлекеттік университеті Семей қаласының Шәкәрім атындағы атындағы,Аңшылықтану және аң шаруашылығы,биология,география,30,23,7,0,0,15
,С.Сейфуллин атындағы Қазақ агротехникалық университеті,Аңшылықтану және аң шаруашылығы,биология,география,30,23,7,0,0,15
,Қазақ ұлттық аграрлық университеті,Аңшылықтану және аң шаруашылығы,биология,география,30,23,7,0,0,15
