location,university_name,university_code,university_category,university_type,university_email,university_site,military_dep
Karaganda,Karaganda Economic University of Kazpotrebsoyuz,122,Private,University,mail@keu.kz,keu.kz,No
Kyzylorda,"Humanitarian and Technical Institute ""Akmeshit""",127,Private,Institute,akmeshit@mail.ru,akmechit.kz,No
Shymkent,Miras University,133,Private,University,info@miras.edu.kz,miras.edu.kz,No
Shymkent,International University of Humanities and Technology,137,Stocked,University,mgtu-shymkent@mail.ru,hgtu.kz,No
Kostanay,Kostanay Engineering and Economic University named after M. Dulatov,140,Private,University,adm@kineu.kz,kineu.kz,No
Families,Kazakh Humanitarian Law Innovation University,141,Private,University,semey_urist@mail.ru,kazguiu.kz,Yes
Zhetisay,Syrdaria University,143,Private,University,sirdariya@mail.ru,sirdariya.kz,No
Kostanay,Kostanay socio-technical university named after Z. Aldamzhar,145,Private,University,pkkstu@mail.ru,kosstu.kz,No
Pavlodar,Innovative Eurasian University,146,Private,University,referent@ineu.edu.kz,ineu.edu.kz,No
Kokshetau,Humanitarian Technical Academy,151,Private,Academy,info@GTA.kz,GTA.kz,No
Ust-Kamenogorsk,Kazakh-American Free University,153,Private,University,kafu_ukg@mail.ru,kafu.kz,No
Almaty,Almaty Academy of Economics and Statistics,154,Private,Academy,aesa2005@mail.ru,aesa.kz,No
Kokshetau,Kokshetau University named after A. Myrzakhmetov,158,Private,University,kuam-kokchetau@mail.ru,kuam.kz,Yes
Almaty,Eurasian Technical University,160,Private,University,info@etu.edu.kz,etu.edu.kz,No
Almaty,Kazakh University of Railways,162,Private,University,kups1@mail.ru,kuwc.kz,No
Astana,"Kazakh University of Economics, Finance and International Trade",173,Private,University,mailbox@kuef.kz,kuef.kz,No
Astana,Kazakh Humanitarian Law University,174,Stocked,University,Info@kazguu.kz,kazguu.kz,Yes
Astana,Kazakh University of Technology and Business,182,Private,University,akutb@mail.ru,kazutb.kz,No
Astana,"University ""Turan — Astana""",184,Private,University,turan-astana@mail.ru,turan-astana.kz,No
Shymkent,South Kazakhstan Pedagogical University,186,Private,University,ukpu_kaz@mail.ru,ukpu.kz,No
Almaty,International University of Information Technology,190,Stocked,University,info@iitu.kz,iitu.kz,No
Astana,Financial Academy,191,Private,Academy,-,fin-academy.kz,No
Astana,Astana University,194,Private,University,astanauniver@mail.ru,cau.kz,No
Aktau,Mangistau University of Humanities and Technology,195,private,University,mgtukz@mail.ru,mgtu-aktau.kz,No
Shymkent,South Kazakhstan State Pedagogical Institute,196,State,Institute,okmpi@mail.ru,okmpi.kz,No
Karaganda,Central Kazakhstan Academy,197,Private,Academy,cka_kz@mail.ru,cka.kz,No
Uralsk,West Kazakhstan Innovation and Technology University,198,State,University,-,wkitu@mail.ru,No
Uralsk,Kazakhstan University of Innovation and Telecommunication Systems,199,Private,University,-,univers.kz,No
Almaty,Eurasian Law Academy named after D. Kunaev,200,Private,University,vuzkunaeva@vuzkunaeva.kz,,No
Shymkent,Kazakhstan Engineering and Pedagogical University of Friendship of Peoples,202,Private,University,info@kipudn.kz,kipudn.kz,No
Shymkent,Kazakhstan Engineering and Pedagogical University of Friendship of Peoples,202,Private,University,info@kazetu.kz,kazetu.kz,No
Shymkent,Regional Social Innovation University,203,Private,University,rsiu2012@mail.ru,rsiu.kz,No
Astana,Kazakh National Academy of ChRudnyography,206,Private,Academy,-,balletacademy.kz/ru/home-ru/,No
Taraz,Taraz University of Humanities and Innovation,223,Private,University,Tigu_kz@mail.ru,tiqu.kz,Yes
Almaty,University named after Suleiman Demirel,302,Private,University,info@sdu.edu.kz,sdu.edu.kz,No
Kyzylorda,University Bolashak,305,Private,University,bolashak_5@mail.ru,bolashak-edu.kz,No
Almaty,Military Institute of the Ground Forces of the Ministry of Defense of the Republic of Kazakhstan,350,Non-civilian,Institute,-,mod.gov.kz,No
Aktobe,Military Institute of the Air Defense Forces of the Ministry of Defense of the Republic of Kazakhstan,351,Non-civilian,Institute,visvo@rambler.ru,-,No
Kokshetau,Kokshetau Technical Institute of the Ministry of Emergencies of the Republic of Kazakhstan,353,Non-civilian,Institute,kti.mchs@mail.ru,kti-tjm.kz,No
Almaty,Almaty Academy of the Ministry of Internal Affairs of the Republic of Kazakhstan named after Makan Yesbulatov,354,Non-civilian,Academy,akademy_mvd@mail.ru,aacademymvd.kz,No
Karaganda,Karaganda Academy of the Ministry of Internal Affairs of the Republic of Kazakhstan named after B. Beisenov,355,Non-civilian,Academy,karurinst@rambler.ru,kzi.kz,No
Petropavlovsk,Military Institute of the National Guard of the Republic of Kazakhstan,357,Non-civilian,Institute,info@vivv.kz,vivv.kz,No
Almaty,Military Engineering Institute of Radio Electronics and Communications of the Ministry of Defense of the Republic of Kazakhstan,359,Non-civilian,Institute,viiy57@mail.ru,mod.gov.kz,No
Shymkent,South Kazakhstan Humanitarian Institute named after M. Saparbayev,413,Private,Institute,ukgi2002@mail.ru,ukgi.kz/,No
Shymkent,Shymkent University,414,Private,University,shimunivers@shym.kz,univershu.kz,No
Aktobe,Aktobe University S. Baisheva,416,Private,University,eduausb@mail.ru,vuzbaishev.kz,No
Almaty,University of FRudnyign Languages ​​and Business Careers,419,Private,University,ydu2006@mail.ru,ydu.kz,No
Almaty,Kazakh-British Technical University,421,Private,University,kense@kbtu.kz,kbtu.kz,No
Uralsk,West Kazakhstan Agrarian and Technical University named after Zhangir Khan,501,State,University,-,-,No
Almaty,"Egyptian University of Islamic Culture ""Nur-Mubarak""",503,Private,University,nur-mubarak2001@mail.ru,nmu.kz,No
Taraz,Taraz State Pedagogical University,515,State,Institute,targpi@mail.ru,tarmpi.kz,No
Kostanay,Kostanay State Pedagogical Institute,516,State,Institute,kgpi118@mail.ru,kspi.kz,No
Pavlodar,Pavlodar State Pedagogical Institute,517,State,Institute,priempspi@gmail.com,ppi.kz,No
Almaty,Academy of the Border Guard Service of the National Security Committee of the Republic of Kazakhstan,518,Non-civilian,Academy,ku_bolashak@mail.ru,knb.kz,No
Almaty,"Kazakhstan Institute of Management, Economics and FRudnycasting",979,Stocked,Institute,astnedop@kimep.kz,kimep.kz,No
Almaty,Almaty Management University,0,Private,University,astana@almau.edu.kz,almau.edu.kz,No
